DISTRICT/MONTH,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL
NARSINGHPUR,5.9311,5.8213,3.1852,1.0984,3.2951,62.1121,194.2446,210.3355,119.3366,16.4754,4.3385,3.4049,629.5787
NASHIK,0.659,0.2746,0.5492,2.5811,8.2926,85.0678,172.9914,142.2374,100.6645,37.3442,12.2467,2.5262,565.4347
NAVSARI(VSD),0.3295,0.0549,0.4393,0,3.9541,167.6643,400.2966,266.242,156.1316,23.1204,5.9311,0.8238,1024.9876
NAWADA,7.1393,5.2172,5.2721,3.0754,18.727,74.249,165.7422,151.5734,100.8293,34.2688,3.4049,2.6361,572.1347
NAWANSHAHR,21.3081,21.9122,21.1983,8.7319,10.5442,46.845,170.0258,139.9857,76.226,16.2557,5.5467,13.6746,552.2542
NAWAPARA,6.8647,6.4803,9.2811,13.1803,18.6172,100.4448,190.7299,165.907,101.5432,33.3352,8.1278,3.0754,657.5869
NAWARANGPUR,3.2402,6.9197,7.9082,29.6007,57.1695,132.6816,236.6412,237.3002,133.2857,56.3458,10.4344,0.3844,911.9116
NAYAGARH,7.4688,12.3565,14.3885,23.0655,26.1958,117.1948,171.4537,179.8012,133.0111,83.585,26.3057,1.5377,796.3643
NE DELHI,9.0065,8.9516,8.4024,4.8877,10.5992,32.8409,121.2038,134.8234,60.5195,11.2582,3.0754,4.7229,410.2915
NEEMUCH,2.4713,1.5377,2.032,1.2631,3.35,46.79,145.2578,142.1275,76.281,17.1344,6.7549,1.9221,446.9218
NELLORE,8.6221,6.3705,3.2951,8.3475,28.2278,29.3262,50.0851,52.172,61.9474,136.3062,155.9119,58.872,599.4838
NEW DELHI,9.0065,8.9516,8.4024,4.8877,10.5992,32.8409,121.2038,134.8234,60.5195,11.2582,3.0754,4.7229,410.2915
NICOBAR,58.9269,31.7975,35.8065,64.2539,196.8807,162.2824,156.516,149.3218,194.8487,179.0323,173.1012,137.789,1540.5569
NILGIRIS,12.686,14.3885,19.5508,45.2523,64.4187,93.2506,143.2259,99.3465,81.4982,119.6661,99.5112,43.4401,836.2349
NIZAMABAD,4.3385,2.4164,4.8328,6.7549,13.4549,88.5826,158.9324,162.8316,94.953,50.14,9.391,3.0205,599.6486
NORTH 24 PARG,8.5672,9.7754,16.6401,28.2827,62.2769,149.3218,174.1996,167.1152,153.4406,71.8875,11.9721,3.1303,856.6094
