DISTRICT/MONTH,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL
SHEOHAR,5.327,4.668,5.4369,14.059,39.2663,110.1653,217.8044,168.8725,98.6875,39.3761,2.1418,4.3385,710.1433
SHEOPUR,5.382,1.8123,2.3615,1.2082,3.7344,37.9483,149.2668,152.7816,59.4761,15.2123,2.691,3.0205,434.895
SHIMLA,37.9483,38.6073,43.9343,26.5253,35.6966,57.499,124.6087,103.7948,62.222,17.9032,7.6336,15.5418,571.9149
SHIMOGA,0.2746,0.2197,3.4598,20.8688,43.0007,190.4553,342.8524,221.7585,76.3908,75.5121,24.4934,4.5582,1003.8443
SHIVPURI,7.1393,3.7344,1.977,1.2631,3.7893,38.7171,151.6283,153.7701,84.1342,17.4639,4.1188,4.2287,471.9642
SHONITPUR,10.6541,12.686,27.4589,79.2465,156.0217,199.4069,210.9946,185.5676,125.8718,60.2449,11.4778,6.9197,1086.5505
SHOPAN,26.6352,40.0351,65.4072,66.6154,49.8655,23.4499,46.7351,50.4695,25.2622,17.5188,15.7065,21.9122,449.6126
SHRAVASTI NGR,11.4229,8.7869,6.8647,4.9426,18.068,84.7932,184.9635,163.216,112.8014,28.118,1.3729,5.4369,630.787
SIDDHARTH NGR,8.5123,5.7115,5.1074,3.2951,11.9721,76.7203,196.4962,172.8266,108.5727,34.8179,0.8787,4.2836,629.1944
SIDHI,11.368,8.0729,6.3705,1.8672,5.1623,70.899,177.5496,182.6569,127.08,19.4959,4.3934,4.009,618.9247
SIKAR,3.9541,4.5582,2.3066,2.5811,10.4893,26.4704,91.7678,73.59,29.2163,5.8762,2.0869,1.8123,254.7092
SIMDEGA,10.4893,10.3795,8.5123,13.1254,19.2213,130.5948,252.2928,222.2527,154.4291,32.2917,6.9197,3.4049,863.9135
SINDHUDURG,0.1648,0.0549,0.2197,2.3615,32.3466,499.4783,604.0969,388.2146,167.7193,78.4777,16.75,5.4918,1795.3761
SINGRAULI,5.7115,6.9197,4.2836,1.8672,2.6361,61.563,144.0496,149.816,101.653,20.9786,2.4164,4.009,505.9037
SIRMAUR,32.0721,29.2712,23.2852,11.2033,17.5188,77.3793,278.9829,266.6813,104.3989,24.1639,5.0524,18.727,888.7363
SIROHI,2.2516,0.8238,1.7574,1.4828,5.5467,39.6507,182.3274,171.893,83.1457,7.0844,4.7229,0.9336,501.62
SIRSA,6.041,6.3705,5.5467,3.0205,6.6451,12.6311,54.8081,44.8679,20.6491,7.359,2.691,1.5377,172.1677
SITAMARHI,5.327,4.668,5.4369,14.059,39.2663,110.1653,217.8044,168.8725,98.6875,39.3761,2.1418,4.3385,710.1433
SITAPUR,10.1598,6.6451,6.4803,2.9656,10.1049,62.3867,149.7062,152.6718,110.1653,33.0057,2.032,4.668,550.9914
SIVAGANGA,8.5672,6.7549,9.6106,25.3172,31.6327,23.0106,39.5409,48.4376,54.3138,102.7514,81.5531,47.8335,479.3235
SIVASAGAR,11.0385,18.2327,43.0007,69.4711,141.1939,140.3152,205.8323,187.984,108.1333,52.8859,11.1483,5.6565,994.8924
SIWAN,8.2926,6.9197,5.327,5.2721,15.1024,75.4572,186.2266,157.9988,131.803,23.7794,4.5033,2.8557,623.5378
SOLAN,39.3761,36.3007,34.3786,15.3221,26.7999,71.558,202.3175,182.2176,93.1408,24.2188,7.0844,17.5737,750.2882
SOLAPUR,1.4828,0.8238,1.8672,5.0524,16.3655,56.4007,54.8081,55.7966,93.4153,51.8974,13.5098,3.6246,355.0442
SONBHADRA,9.9401,7.6336,5.6565,3.4598,6.5352,69.581,157.2849,160.7996,115.8768,19.1114,3.2402,3.8443,562.9634
SONEPAT(RTK),10.6541,8.5672,7.9082,5.2721,9.1713,25.3721,106.7604,114.5038,46.79,11.2033,3.2402,4.3385,353.7812
SONEPUR,3.2951,7.8533,10.1598,7.8533,16.695,97.8637,208.9077,237.5199,138.5579,31.2483,3.6795,2.691,766.3245
SOUTH 24 PARG,7.4688,14.6631,20.8139,22.9008,68.7023,173.5406,254.5994,228.5683,195.9471,119.9407,34.2139,5.327,1146.6859
SOUTH ANDAMAN,23.9991,14.2787,10.2147,49.7007,205.6126,251.0846,231.3691,232.3576,250.2059,165.4127,151.4636,70.4597,1656.159
SOUTH DELHI,9.0065,8.9516,8.4024,4.8877,10.5992,32.8409,121.2038,134.8234,60.5195,11.2582,3.0754,4.7229,410.2915
SOUTH DINAJPUR,4.8877,7.3041,10.4344,32.3466,92.1522,158.8775,202.5921,136.1964,153.6054,61.7826,7.1393,3.0754,870.3937
SOUTH GARO HI,3.7344,5.8762,26.745,99.3465,192.2126,270.5256,261.6289,211.5437,179.7463,85.5072,8.8418,5.1623,1350.8705
SOUTH GOA,0.3844,0.0549,0.2197,3.6246,44.5933,475.8087,567.6314,350.0467,148.0037,80.0154,19.1663,4.9975,1694.5466
SOUTH SIKKIM,18.3975,30.8089,33.8843,96.3809,160.1955,255.1486,279.5321,242.1879,195.8372,84.958,10.1049,10.6541,1418.0899
SOUTH TRIPURA,4.4483,16.8049,43.1105,93.1957,183.975,260.8051,273.1616,217.9142,140.0956,96.1612,24.4385,5.327,1359.4376
SRI GANGANAGA,3.2951,4.3934,5.1074,3.8443,6.3705,14.0041,43.5499,35.6417,17.409,1.7025,1.1533,2.4164,138.8876
SRIKAKULAM,4.3385,9.9401,9.4459,14.4434,35.0925,79.631,104.4538,111.1538,114.2841,116.0964,38.3327,2.691,639.9032
SRINAGAR,31.1384,37.7835,57.1146,47.6687,37.3442,20.5393,30.5344,33.445,16.695,17.409,15.9262,24.3286,369.9269
SUBANSIRI F.D,15.377,26.5253,46.845,55.7417,77.1596,125.4325,119.3915,100.3899,87.7588,41.6827,11.4778,6.3705,714.1523
SULTANPUR,7.2492,4.7779,3.4598,2.5811,9.2811,45.3073,166.5111,150.0357,99.8407,24.9327,1.318,3.4049,518.6995
SUNDARGARH,10.5992,8.9516,9.8852,7.9082,21.7475,119.1169,202.2626,204.9536,119.4464,27.6786,4.8328,2.8008,740.1834
SUPAUL,4.1738,4.7779,6.9746,12.6311,45.7466,110.0005,205.997,148.3882,115.3276,41.0237,2.4713,2.032,699.5443
SURAT,0,0.0549,0.4943,0.0549,2.9656,122.6866,272.228,179.3619,114.1743,17.409,6.3156,0.7689,716.514
SURENDRANAGAR,0.1098,0,0.0549,0.1648,2.5811,54.7531,92.7014,81.3334,45.6917,9.6106,6.2057,0.3844,293.5909
SURGUJA,10.2696,8.2926,7.4688,4.668,7.9631,109.012,216.2118,208.2487,122.8513,27.8434,5.0524,3.5697,731.4514
SW DELHI,9.0065,8.9516,8.4024,4.8877,10.5992,32.8409,121.2038,134.8234,60.5195,11.2582,3.0754,4.7229,410.2915
TAMENGLONG,26.6352,126.0915,123.2907,236.9707,296.5017,636.3337,1000,835.9053,398.8687,206.5462,79.0818,3.9541,3970.1796
TAPI(SRT),0,0,0.4393,0.0549,4.4483,128.9472,315.5033,243.1215,127.9038,15.377,6.041,1.7025,843.5388
TARN TARAN,9.8852,10.05,11.8073,5.7115,6.8098,12.9057,73.3703,61.1785,37.5089,9.7754,2.4713,5.2172,246.6911
TAWANG(W KAME,19.3311,23.8893,32.3466,73.7547,187.3249,365.3688,411.8293,318.0295,269.592,128.453,22.1319,14.8278,1866.8789
THANE,0.1098,0.1648,0.1648,0.3844,7.6336,239.6617,534.7356,372.2335,186.9405,46.4056,6.8098,0.8238,1396.0679
THANJAVUR,14.7729,8.4574,9.5008,16.75,29.8204,21.8573,35.6966,55.9064,61.3982,100.9391,120.38,80.8941,556.3732
THENI,8.7869,10.6541,19.4409,40.3097,32.6761,12.0819,17.9032,18.2877,38.7171,92.0973,76.3359,28.118,395.4088
THIRUVANANTHA,10.5992,11.5877,19.4959,64.0892,118.9522,186.0069,125.7071,77.9834,88.8022,147.18,105.4424,34.4335,990.2797
THOOTHUKUDI,13.5098,9.9951,15.9811,28.2827,17.0245,3.8992,8.7319,8.677,19.8254,83.0908,101.8178,49.5909,360.4262
THOUBAL,8.4024,14.3885,23.6696,52.831,76.94,182.8766,99.7858,116.4809,58.6523,51.9523,15.3221,5.1074,706.4089
THRISSUR,1.8672,4.1188,9.336,43.495,158.7676,388.4892,424.4604,241.6937,152.1775,162.7217,75.8416,19.2213,1682.19
TIKAMGARH,11.0385,3.8992,2.4713,0.9885,2.691,45.472,154.8136,182.7668,85.5072,16.1459,4.0639,5.5467,515.4046
TINSUKIA,14.6082,32.0721,72.0523,118.5677,149.7611,213.2462,282.9919,212.6421,179.5815,65.1875,13.7844,10.3795,1364.8745
TIRAP,23.1754,39.9253,77.4342,174.0348,180.5151,337.5803,467.8456,274.919,229.7216,120.1054,23.5598,12.5762,1961.3927
TIRUCHIRAPPAL,7.4688,4.9975,6.4803,21.0885,32.786,17.2991,29.2163,40.5294,74.3588,95.1178,76.8301,43.0556,449.2282
TIRUNELVELI,19.4409,18.6172,26.4155,38.6622,26.1958,20.8139,21.6926,14.718,20.9786,86.4957,115.3825,54.6982,464.1111
TIRUPUR,3.8992,3.7893,7.359,26.3606,40.4745,12.0819,14.8828,17.409,40.6392,81.1137,65.9015,25.5917,339.5024
TIRUVALLUR,9.8852,7.4139,2.8008,7.5238,26.5803,37.6737,60.5744,74.3588,75.4023,115.8768,143.5005,64.2539,625.8444
TIRUVANNAMALA,8.0729,6.4803,6.2606,10.5992,37.454,34.2688,52.7212,78.1482,91.9326,106.6506,93.4703,45.0876,571.1463
TIRUVARUR,22.4614,10.5442,9.4459,18.5073,25.7016,18.3426,35.1475,51.6228,57.6638,110.0005,166.9504,117.9636,644.3516
TONK,2.7459,2.9106,1.4828,1.6475,5.5467,30.8089,120.6546,115.6022,43.7696,7.6336,2.691,1.6475,337.1409
TUENSANG,13.0155,14.718,36.0811,97.3145,123.9497,192.3774,242.6273,193.4208,132.7915,67.2744,22.8458,5.8762,1142.2922
TUMKUR,1.318,1.6475,3.8992,18.6721,47.8335,33.7745,38.2778,43.6597,81.5531,81.7727,25.6467,5.5467,383.6015
UDAIPUR,1.5377,1.0984,2.3615,1.2082,4.5033,40.4196,113.9546,111.8678,58.4876,8.3475,6.0959,1.4279,351.31
UDALGURI(DARA,7.1942,11.7524,29.3811,92.7014,175.7373,230.4904,189.9061,149.4316,121.6431,52.3917,9.4459,5.1074,1075.1826
UDHAM SINGH N,16.4754,10.4344,8.6221,4.9426,18.068,80.949,221.2642,200.8897,111.9227,40.3647,2.4713,5.1623,721.5664
UDHAMPUR,59.5859,66.0662,74.0293,35.3122,22.5713,50.2499,282.6624,302.6525,120.7645,23.395,13.6196,33.1155,1084.0243
UDUPI,0.7689,0.2197,2.2516,16.1459,106.4309,593.6625,753.2539,495.4693,222.3626,122.9063,40.9688,10.3246,2364.765
UJJAIN,3.5147,1.1533,1.0984,0.4393,2.9656,57.499,151.9029,160.1406,88.308,19.2213,7.0844,4.0639,497.3914
UKHRUL,7.9631,19.8254,31.2483,42.0671,67.1097,191.279,162.9963,133.6152,92.8662,67.3843,27.1294,7.1942,850.6782
UMARIA,14.6631,11.8073,8.8967,4.0639,4.3385,68.5925,186.611,228.0191,117.5243,21.2532,5.327,7.5238,678.6204
UNA,25.427,24.768,22.4614,9.4459,14.718,37.1245,186.7209,170.4102,79.5211,17.6286,8.5123,13.2352,609.9731
UNNAO,8.1828,8.2926,4.0639,1.8672,5.7664,45.5269,136.9103,157.2849,94.294,30.8089,1.2082,4.009,498.2151
UPPER SIANG,40.804,97.0399,199.1323,218.2986,224.4494,440.3866,358.6139,229.5019,376.7368,145.4775,47.7237,39.3761,2417.5407
UTTAR KANNADA,0.1648,0.0549,1.4828,12.1369,62.6064,406.8867,578.7248,366.6868,141.9628,85.1777,24.2188,6.1508,1686.2542
UTTARKASHI,38.9368,39.9802,46.6253,26.6352,56.0712,81.0588,209.0175,222.5273,118.1833,32.7311,7.3041,13.7295,892.8003
VAISHALI,8.4024,4.6131,3.9541,8.018,14.718,75.567,205.9421,156.6808,122.8513,40.2548,2.9656,2.1418,646.109
VALSAD,0.3844,0.0549,0.2746,0,3.4598,192.4872,423.8563,286.7263,168.543,26.3606,7.5787,0.5492,1110.275
VARANASI,10.1049,7.9631,5.2172,2.5811,6.4803,51.5679,171.1242,154.539,129.9357,20.5942,6.7,3.0205,569.8281
VELLORE,4.4483,3.7344,5.0524,12.2467,41.1884,36.1909,58.9269,70.8441,90.0104,89.626,69.8556,32.0171,514.1412
VIDISHA,7.6885,4.5033,2.8008,0.7689,2.4164,60.5744,195.6176,206.4913,89.2416,13.1803,6.5352,5.9311,595.7494
VILUPPURAM,10.1598,5.327,5.1074,8.9516,27.6786,26.8549,46.0761,71.5031,79.7957,102.4219,107.1448,64.5285,555.5494
VIRUDHUNAGAR,10.3246,13.1803,15.8164,37.0696,35.8065,12.1369,19.6606,28.2278,48.0532,99.2366,94.8432,36.0261,450.3818
VISAKHAPATNAM,4.8328,5.9311,9.6656,24.5483,53.0507,72.8211,97.8637,97.8637,101.8178,112.1973,32.5114,2.3615,615.465
VIZIANAGARAM,4.7779,7.9082,9.7205,17.7385,49.8105,77.2695,99.676,106.9801,114.8333,103.3006,30.9188,3.35,626.2839
W KHASI HILL,10.8188,17.0795,33.6647,88.1432,193.4758,357.7901,576.8027,333.8459,255.533,105.717,17.6286,10.1598,2000.6591
WARANGAL,4.5582,4.2836,6.7549,7.7983,15.7614,81.0588,148.9373,122.0825,85.3973,48.822,12.5762,3.9541,541.9846
WARDHA,6.1508,5.0524,7.1942,4.668,8.7319,93.1957,150.2554,150.0357,89.9555,31.7975,8.2926,8.677,564.0067
WASHIM,4.9426,3.1303,4.1188,2.691,4.5582,95.008,134.7685,137.5144,86.1113,33.4999,6.3156,4.0639,516.7225
WAYANAD,2.6361,4.5582,9.6106,45.7466,95.8866,383.3818,609.8083,325.6082,126.6956,117.03,51.4032,14.1688,1786.534
WEST CHAMPARAN,10.2147,5.9311,7.0295,10.05,30.9188,125.9267,245.483,191.8282,136.9652,36.1909,2.8008,5.0524,808.3913
WEST DELHI,9.0065,8.9516,8.4024,4.8877,10.5992,32.8409,121.2038,134.8234,60.5195,11.2582,3.0754,4.7229,410.2915
WEST GARO HIL,3.7344,5.8762,26.745,99.3465,192.2126,270.5256,261.6289,211.5437,179.7463,85.5072,8.8418,5.1623,1350.8705
WEST GODAVARI,3.35,5.8762,4.7779,10.4344,30.6442,74.5785,131.9128,125.103,98.9071,108.6276,36.6302,6.4254,637.2673
WEST KAMENG,19.3311,23.8893,32.3466,73.7547,187.3249,365.3688,411.8293,318.0295,269.592,128.453,22.1319,14.8278,1866.8789
WEST MIDNAPOR,6.7,13.2352,21.418,31.1934,59.0917,133.8898,180.9545,173.5406,152.0127,58.4876,9.8303,2.9106,843.2644
WEST SIANG,14.2787,36.6302,42.1769,125.8718,131.5284,228.788,325.3336,171.5635,159.866,69.6359,18.5073,16.2008,1340.3811
WEST SIKKIM,33.8294,54.0941,109.5612,130.8694,195.1782,276.237,268.7682,235.1584,214.015,145.5324,23.8893,12.3016,1699.4342
WEST SINGHBHUM,7.0844,11.9721,12.686,13.1254,31.1384,114.2292,173.0463,188.1487,122.3022,34.8729,5.382,3.0205,717.0081
WEST TRIPURA,5.2721,15.3221,39.5958,106.6506,197.6495,234.2798,217.42,177.4946,137.6243,96.0514,22.7909,5.6565,1255.8076
WOKHA,11.2033,23.1204,53.1056,79.2465,178.8127,228.6232,272.1731,263.0018,152.6168,70.1302,30.5893,9.0615,1371.6844
YADGIR,2.4164,1.977,2.8557,11.2582,20.2098,64.1441,84.0244,88.5277,98.7424,67.7687,13.4549,2.9106,458.2899
YAMUNANAGAR,23.3401,19.1663,17.5188,8.2926,14.4983,64.6933,167.1701,178.7028,79.3564,19.7704,3.7344,11.6975,607.941
YANAM,9.8303,10.7639,9.1164,5.8762,23.9442,25.7565,46.2958,70.1851,69.1966,148.6627,202.3725,111.9776,733.9778
YAVATMAL,4.7229,2.5262,6.041,4.2287,6.5352,95.3375,146.6857,144.3242,83.2006,33.9942,7.2492,4.8877,539.7331
ZUNHEBOTO,13.0155,14.718,36.0811,97.3145,123.9497,192.3774,242.6273,193.4208,132.7915,67.2744,22.8458,5.8762,1142.2922
,,,,,,,,,,,,,
